,City,Lat,Lon,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
113,Palmer,42.16,-72.33,84.2,28,20,12.75,US,1593212607
114,Maragogi,-9.01,-35.22,74.95,81,86,7.47,BR,1593212607
115,Hobart,-42.88,147.33,42.8,81,37,10.29,AU,1593212433
116,Burns Lake,54.23,-125.75,62.62,58,58,8.39,CA,1593212402
117,Gobabis,-22.45,18.97,42.8,48,0,2.24,NA,1593212608
118,Carnarvon,-24.87,113.63,55.4,93,14,6.93,AU,1593212608
119,Esperance,-33.87,121.9,51.8,76,0,10.29,AU,1593212608
120,Muscat,23.61,58.59,89.6,70,66,2.24,OM,1593212608
121,Soligalich,59.08,42.29,59.99,89,42,4.83,RU,1593212608
122,Cherskiy,68.75,161.3,40.44,67,95,16.58,RU,1593212608
123,Sipe Sipe,-17.45,-66.38,66.2,37,20,13.87,BO,1593212608
124,Shingū,33.73,135.98,78.19,63,59,3.13,JP,1593212608
125,Alihe,50.57,123.72,66.54,70,14,1.45,CN,1593212608
126,Laguna,38.42,-121.42,102.0,30,1,5.82,US,1593212336
127,Los Boquerones,8.08,-80.85,81.01,81,100,4.94,PA,1593212609
128,Hässleholm,56.16,13.77,64.99,93,1,2.24,SE,1593212609
129,Mitú,1.2,-70.17,76.24,89,12,1.43,CO,1593212389
130,Lebu,-37.62,-73.65,49.75,93,74,13.15,CL,1593212609
131,Carballo,43.21,-8.69,64.99,82,75,5.82,ES,1593212609
132,Mar del Plata,-38.0,-57.56,46.0,87,5,5.82,AR,1593212357
133,Mareeba,-17.0,145.43,72.0,76,1,7.0,AU,1593212609
134,Warrington,53.39,-2.58,62.01,87,35,5.82,GB,1593212609
135,Sur,22.57,59.53,84.27,73,0,12.01,OM,1593212543
136,Novyy Svit,47.81,38.02,63.03,78,0,7.81,UA,1593212610
137,Pevek,69.7,170.31,31.06,98,93,17.78,RU,1593212610
138,Gaoual,11.75,-13.2,78.76,82,48,3.96,GN,1593212610
139,Anagé,-14.61,-41.14,70.68,59,19,4.03,BR,1593212610
140,Hasaki,35.73,140.83,73.0,94,75,4.7,JP,1593212505
141,Dikson,73.51,80.55,35.64,89,30,26.19,RU,1593212610
142,Tres Arroyos,-38.37,-60.28,40.33,74,59,6.08,AR,1593212610
143,Narsaq,60.92,-46.05,55.4,54,8,9.17,GL,1593212611
144,Tiznit Province,29.58,-9.5,69.71,63,20,1.95,MA,1593212611
145,Leningradskiy,69.38,178.42,32.31,95,100,18.39,RU,1593212611
146,Hay River,60.82,-115.8,66.2,48,75,12.75,CA,1593212611
147,Lakes Entrance,-37.88,147.98,42.01,97,48,6.71,AU,1593212611
148,Nizhneangarsk,55.78,109.55,59.34,60,44,3.29,RU,1593212611
149,Mossamedes,-15.2,12.15,64.17,79,0,2.53,AO,1593212611
150,Kortkeros,61.81,51.58,51.8,93,75,2.24,RU,1593212611
151,Nikolskoye,59.7,30.79,66.2,68,0,2.24,RU,1593212612
152,Pierre,44.37,-100.35,86.0,35,1,4.7,US,1593212429
153,Comarapa,-17.9,-64.48,53.74,94,97,2.86,BO,1593212612
154,Waingapu,-9.66,120.26,76.37,81,54,10.67,ID,1593212612
155,Codrington,-38.27,141.97,42.78,77,63,7.38,AU,1593212612
156,Gualeguay,-33.14,-59.31,45.95,63,100,3.47,AR,1593212612
157,Kanniyākumāri,8.08,77.57,80.44,79,65,18.39,IN,1593212406
158,Bridlington,54.08,-0.19,68.0,94,86,2.24,GB,1593212612
159,Pisco,-13.7,-76.22,64.4,77,4,8.05,PE,1593212332
160,Fort Nelson,58.81,-122.7,71.6,37,75,5.82,CA,1593212612
161,Sinnamary,5.38,-52.95,78.46,87,97,9.75,GF,1593212613
162,Presidente Médici,-11.18,-61.9,77.07,70,96,1.5,BR,1593212613
163,Atbasar,51.8,68.33,49.91,81,100,10.67,KZ,1593212613
164,Boca do Acre,-8.75,-67.4,80.46,72,75,1.34,BR,1593212613
165,New Norfolk,-42.78,147.06,42.01,89,56,2.66,AU,1593212613
166,Ostrovnoy,68.05,39.51,47.17,88,100,14.12,RU,1593212613
167,Urengoy,65.97,78.37,53.11,78,17,16.71,RU,1593212613
168,Lompoc,34.64,-120.46,69.01,72,8,14.99,US,1593212613
169,Tiarei,-17.53,-149.33,82.4,69,20,19.46,PF,1593212613
170,Whitehorse,60.72,-135.05,57.2,47,75,6.93,CA,1593212532
171,Teruel,40.67,-0.67,69.8,52,85,6.93,ES,1593212614
172,Baykit,61.67,96.37,67.75,55,21,2.01,RU,1593212614
173,Bredasdorp,-34.53,20.04,51.8,71,28,6.93,ZA,1593212614
174,Mandalgovi,45.76,106.27,66.27,38,39,11.59,MN,1593212614
175,Hermanus,-34.42,19.23,52.0,91,17,11.01,ZA,1593212614
176,Seminole,28.71,-81.21,90.0,55,1,12.75,US,1593212614
177,Port Elizabeth,-33.92,25.57,50.0,76,0,6.93,ZA,1593212615
178,Wahiawā,21.5,-158.02,87.8,51,40,11.41,US,1593212487
179,Nemuro,43.32,145.57,52.21,98,100,16.69,JP,1593212615
180,Touros,-5.2,-35.46,75.2,94,75,5.82,BR,1593212615
181,Najrān,17.49,44.13,89.6,18,40,4.7,SA,1593212615
182,Samdrup Jongkhar District,26.92,91.62,71.31,88,100,1.88,BT,1593212615
183,Provideniya,64.38,-173.3,44.35,81,99,25.66,RU,1593212615
184,Kodinsk,58.69,99.18,68.59,60,51,1.86,RU,1593212615
185,Saint-Augustin,51.23,-58.65,67.17,59,97,14.09,CA,1593212615
186,Alyangula,-13.85,136.42,75.2,88,75,1.12,AU,1593212616
187,Sicamous,50.83,-118.99,75.0,59,100,1.48,CA,1593212402
188,Mahibadhoo,3.78,72.97,82.63,75,100,11.68,MV,1593212616
189,Alghero,40.56,8.32,72.0,83,0,1.12,IT,1593212616
190,Kota Kinabalu,5.97,116.07,75.2,88,20,4.7,MY,1593212616
191,Geraldton,-28.77,114.6,57.2,93,40,13.87,AU,1593212616
192,Portland,45.52,-122.68,89.01,35,20,6.93,US,1593212072
193,Linxi,39.7,118.43,73.31,62,0,5.79,CN,1593212616
194,Paita,-5.09,-81.11,67.08,76,2,18.61,PE,1593212616
195,Yoichi,43.2,140.77,64.99,100,75,10.29,JP,1593212616
196,Gornoye Loo,43.71,39.6,69.8,88,20,6.13,RU,1593212617
197,Le Port,-20.94,55.29,68.0,77,20,14.99,RE,1593212337
198,Deputatsky,69.3,139.9,66.87,49,48,3.74,RU,1593212617
199,Tabasalu,59.43,24.53,62.6,77,0,5.59,EE,1593212343
200,Torbay,47.67,-52.73,73.4,60,40,16.11,CA,1593212617
201,Dingle,11.0,122.67,79.66,83,100,1.59,PH,1593212617
202,Westport,41.14,-73.36,84.0,42,1,9.17,US,1593212465
203,Spornoye,50.84,37.29,62.6,77,0,6.71,RU,1593212617
204,Novosilikatnyy,53.31,83.62,66.2,59,78,6.71,RU,1593212617
205,Waynesville,35.49,-82.99,69.01,89,78,3.0,US,1593212556
206,Saldanha,-33.01,17.94,55.4,82,60,13.87,ZA,1593212618
207,Santa Cruz de la Sierra,-17.8,-63.17,55.4,93,90,2.24,BO,1593212404
208,Ziro,27.63,93.83,58.82,100,100,1.01,IN,1593212618
209,Karachi,24.91,67.08,87.8,70,75,16.11,PK,1593212618
210,Dunyapur,29.8,71.72,95.0,59,40,6.93,PK,1593212618
211,Merauke,-8.47,140.33,79.18,81,97,17.25,ID,1593212618
212,San Quintín,30.48,-115.95,70.79,67,1,14.07,MX,1593212618
213,Chokurdakh,70.63,147.92,54.81,41,69,9.98,RU,1593212618
214,Hergla,36.03,10.51,80.6,78,6,12.75,TN,1593212619
215,Vestmannaeyjar,63.44,-20.27,51.01,86,100,6.91,IS,1593212584
216,Jahāngīrābād,28.42,78.1,88.88,54,14,4.38,IN,1593212619
217,Bismarck,46.81,-100.78,89.6,22,1,8.05,US,1593212619
218,Nueva Loja,0.08,-76.88,75.11,92,76,0.65,EC,1593212619
219,Cape Town,-33.93,18.42,60.01,87,75,21.92,ZA,1593212619
220,Zuwārah,32.93,12.08,84.45,39,0,11.03,LY,1593212619
221,Goderich,43.75,-81.72,80.01,62,90,9.62,CA,1593212402
222,Bangui,4.36,18.55,77.0,88,87,1.97,CF,1593212384
223,Lata,40.16,-8.33,64.99,84,84,5.01,PT,1593212619
224,Davila,18.47,120.58,77.0,94,75,4.7,PH,1593212620
225,Batagay,67.63,134.63,81.46,30,8,1.83,RU,1593212620
226,Torres,-29.34,-49.73,52.86,69,100,8.37,BR,1593212406
227,Idenao,4.25,9.0,77.0,94,20,8.05,CM,1593212620
228,Port Moresby,-9.44,147.18,78.8,83,75,11.41,PG,1593212419
229,Hong Kong,22.29,114.16,86.0,74,75,11.01,HK,1593212565
230,Lagoa,39.05,-27.98,66.42,95,49,11.63,PT,1593212584
231,Severo-Kuril'sk,50.68,156.12,52.2,65,83,10.42,RU,1593212620
232,Kapit,2.02,112.93,72.88,95,100,1.61,MY,1593212620
233,Tutóia,-2.76,-42.27,77.52,83,46,6.82,BR,1593212621
234,Saskylakh,71.92,114.08,81.12,30,21,10.38,RU,1593212621
235,Marsh Harbour,26.54,-77.06,82.98,72,92,10.38,BS,1593212621
236,Narrabri,-30.32,149.78,45.0,81,0,2.24,AU,1593212621
237,Kharp,66.8,65.81,46.04,81,100,14.14,RU,1593212621
238,Ossora,59.24,163.07,60.21,64,43,6.42,RU,1593212621
239,Xinzhi,36.5,111.7,74.68,51,54,2.84,CN,1593212621
240,Oktyabr'skoye,43.06,44.74,60.8,59,80,13.42,RU,1593212621
241,Genhe,50.78,121.52,60.91,86,100,1.81,CN,1593212621
242,Constantine,36.37,6.61,80.6,39,40,18.34,DZ,1593212583
243,Vanimo,-2.67,141.3,82.45,75,78,8.01,PG,1593212465
244,Xining,36.62,101.77,54.03,59,54,2.73,CN,1593212622
245,Kerrobert,51.92,-109.13,82.4,37,40,13.87,CA,1593212622
246,Progreso,21.28,-89.67,91.99,78,75,6.93,MX,1593212622
247,Tahoua,14.89,5.27,89.6,35,70,11.41,NE,1593212526
248,Victor Harbor,-35.57,138.62,41.0,95,0,6.82,AU,1593212622
249,Beringovskiy,63.05,179.32,44.96,57,0,26.04,RU,1593212622
250,Kimbe,-5.55,150.14,84.72,65,14,4.5,PG,1593212622
251,Ust'-Charyshskaya Pristan',52.39,83.66,60.75,90,0,5.3,RU,1593212623
252,Kingman,35.19,-114.05,102.0,11,1,16.11,US,1593212623
253,Mackay,-21.15,149.2,59.0,87,90,4.7,AU,1593212623
254,Araouane,18.9,-3.53,97.45,9,0,4.68,ML,1593212623
255,Ko Samui,9.54,99.94,78.8,83,20,2.24,TH,1593212413
256,Lesozavodsk,45.48,133.42,59.0,96,100,3.4,RU,1593212623
257,Kavaratti,10.57,72.64,83.08,73,100,19.35,IN,1593212623
258,Skjern,55.95,8.5,66.0,75,0,8.03,DK,1593212623
259,Tombouctou,20.0,-3.0,96.87,9,26,6.22,ML,1593212623
260,Gilgit,35.92,74.31,74.12,39,1,3.36,PK,1593212624
261,Bayāna,26.9,77.28,87.76,61,78,10.29,IN,1593212624
262,Barretos,-20.56,-48.57,73.49,59,14,3.44,BR,1593212624
263,Jining,35.41,116.58,86.0,34,57,2.1,CN,1593212624
264,Balabac,7.99,117.06,81.57,79,100,4.16,PH,1593212624
265,Inhambane,-23.86,35.38,65.77,87,0,7.67,MZ,1593212624
266,Aykhal,66.0,111.5,62.6,63,90,4.47,RU,1593212624
267,Camacha,33.08,-16.33,68.0,88,75,11.41,PT,1593212624
268,Marolambo,-20.05,48.12,60.06,93,36,1.66,MG,1593212625
269,Souillac,-20.52,57.52,71.6,88,75,11.41,MU,1593212625
270,Bloomingdale,27.89,-82.24,95.0,53,1,8.05,US,1593212556
271,Mil'kovo,54.72,158.62,68.5,51,0,1.72,RU,1593212625
272,Yangi Marg`ilon,40.43,71.72,71.6,49,20,4.7,UZ,1593212625
273,Beloha,-25.17,45.05,67.41,70,96,5.95,MG,1593212625
274,Guerrero Negro,27.98,-114.06,75.29,53,4,18.41,MX,1593212625
275,Nara,34.69,135.8,80.01,88,75,1.12,JP,1593212465
276,Dubovskoye,47.41,42.76,65.89,54,76,5.12,RU,1593212625
277,Kuala Lipis,4.18,102.05,71.49,92,100,0.65,MY,1593212626
278,San Andrés,12.58,-81.7,84.2,79,75,14.99,CO,1593212626
279,Bereda,43.27,-7.54,62.01,90,98,10.0,ES,1593212626
280,Port Lincoln,-34.73,135.87,53.46,56,0,12.08,AU,1593212626
281,São Francisco de Assis,-29.55,-55.13,46.81,70,100,5.73,BR,1593212626
282,Vostok,46.49,135.88,52.57,99,100,3.2,RU,1593212626
283,Turangi,-39.0,175.93,57.0,79,100,3.0,NZ,1593212626
284,Wanning,18.8,110.4,82.33,86,74,10.54,CN,1593212626
285,Waitati,-45.75,170.57,57.0,87,83,15.99,NZ,1593212626
286,Margate,51.38,1.39,64.0,81,29,1.99,GB,1593212583
287,Riyadh,24.69,46.72,84.2,16,0,5.82,SA,1593212405
288,Río Cuarto,-33.13,-64.35,48.2,39,1,14.99,AR,1593212627
289,Vol'sk,52.03,47.38,54.5,83,0,6.67,RU,1593212627
290,Hedaru,-4.5,37.9,64.18,92,25,3.11,TZ,1593212627
291,Padang,-0.95,100.35,78.39,72,100,3.62,ID,1593212627
292,Chalisgaon,20.47,75.02,79.38,81,100,3.15,IN,1593212627
293,Kalmunai,7.42,81.82,79.45,74,92,3.74,LK,1593212627
294,Plouzané,48.38,-4.62,60.8,93,90,18.34,FR,1593212627
295,Jalu,29.03,21.55,78.12,45,0,9.71,LY,1593212628
296,Tuban,-6.9,112.06,73.72,88,35,5.55,ID,1593212628
297,Gachsaran,30.36,50.8,86.0,22,0,1.95,IR,1593212628
298,Konosha,60.97,40.26,58.96,94,86,7.87,RU,1593212628
299,Ponta Delgada,37.73,-25.67,66.2,82,20,5.82,PT,1593212628
300,Kahului,20.89,-156.47,87.8,52,40,21.92,US,1593212628
301,Zhanakorgan,43.91,67.25,59.14,51,1,17.07,KZ,1593212628
302,Evensk,61.95,159.23,51.22,81,37,8.72,RU,1593212628
303,Meulaboh,4.14,96.13,76.19,89,100,3.69,ID,1593212629
304,Kitimat,54.05,-128.65,62.6,63,75,16.11,CA,1593212629
305,Great Yarmouth,52.61,1.73,70.0,88,58,4.0,GB,1593212525
306,Upernavik,72.79,-56.15,37.81,87,94,5.35,GL,1593212629
307,Mayumba,-3.43,10.66,71.37,85,3,2.89,GA,1593212629
308,Bariloche,-41.15,-71.31,30.0,79,90,8.05,AR,1593212388
309,San Rafael del Sur,11.85,-86.44,91.4,49,20,18.34,NI,1593212440
310,Usinsk,65.99,57.53,41.05,83,92,7.7,RU,1593212629
311,Ambilobe,-13.2,49.05,67.64,85,1,3.2,MG,1593212629
312,Zhob,31.34,69.45,78.84,40,0,2.62,PK,1593212498
313,Nombre de Jesús,15.35,-86.68,79.5,73,42,4.12,HN,1593212630
314,Kishangarh,26.57,74.87,87.78,55,57,13.49,IN,1593212630
315,Oyama,36.3,139.8,80.01,88,75,2.24,JP,1593212630
316,Ulaangom,49.98,92.07,60.78,66,15,1.14,MN,1593212630
317,Nelipyno,48.56,23.03,66.99,98,81,11.99,UA,1593212630
318,Jablah,35.36,35.93,69.8,83,1,4.7,SY,1593212630
319,Ceyhan,37.02,35.82,75.0,100,20,1.03,TR,1593212630
320,North Platte,41.12,-100.77,87.8,43,1,10.29,US,1593212468
321,Bam,29.11,58.36,81.36,15,0,4.92,IR,1593212631
322,Sterling,39.01,-77.43,86.0,42,1,4.7,US,1593212592
323,Sechura,-5.56,-80.82,70.3,65,1,17.67,PE,1593212631
324,Garmsār,35.22,52.34,74.01,45,0,6.33,IR,1593212631
325,Cosalá,24.41,-106.69,86.0,69,79,7.0,MX,1593212631
326,Dali,25.7,100.18,63.23,85,99,5.01,CN,1593212631
327,Pangnirtung,66.15,-65.71,44.6,87,90,9.17,CA,1593212631
328,Dhidhdhoo,6.88,73.1,80.83,78,100,11.45,MV,1593212631
329,Cambridge,43.36,-80.31,80.6,42,1,14.99,CA,1593212509
330,Baytown,29.74,-94.98,84.0,84,100,7.27,US,1593212631
331,Albemarle,35.35,-80.2,89.01,40,1,5.82,US,1593212608
332,Bhag,29.04,67.82,93.56,45,0,11.3,PK,1593212632
333,Ribas do Rio Pardo,-20.44,-53.76,67.6,93,46,4.16,BR,1593212632
334,Andrushivka,50.02,29.02,61.39,88,0,5.88,UA,1593212632
335,Bonavista,48.65,-53.11,58.15,97,80,3.83,CA,1593212632
336,Kieta,-6.22,155.63,84.63,68,77,7.74,PG,1593212632
337,Ilulissat,69.22,-51.1,39.2,86,32,5.82,GL,1593212632
338,Nzega,-2.48,29.56,58.26,80,87,2.89,RW,1593212632
339,Port Hardy,50.7,-127.42,59.0,87,75,13.87,CA,1593212632
340,Plettenberg Bay,-34.05,23.37,53.96,74,0,6.35,ZA,1593212633
341,Mwene-Ditu,-7.0,23.45,67.17,42,67,1.86,CD,1593212633
342,Fenoarivo,-18.93,47.44,57.2,93,75,5.82,MG,1593212633
343,Barra de Tecoanapa,16.52,-98.75,85.86,70,98,12.5,MX,1593212633
344,Berlevåg,70.86,29.09,42.8,93,90,21.92,NO,1593212633
345,Mongo,12.18,18.69,84.99,52,48,3.65,TD,1593212633
346,Davidson,36.15,-86.78,80.6,65,75,10.29,US,1593212633
347,Donauwörth,48.7,10.8,63.0,93,98,1.01,DE,1593212633
348,Kurchum,48.57,83.65,64.9,44,37,7.47,KZ,1593212633
349,Waiouru,-39.48,175.67,49.87,82,100,7.34,NZ,1593212634
350,Isangel,-19.55,169.27,75.2,69,10,9.17,VU,1593212634
351,Mīzan Teferī,6.98,35.58,60.28,92,43,2.91,ET,1593212634
352,Shelton,41.32,-73.09,84.99,42,1,9.17,US,1593212634
353,Bahía Solano,6.23,-77.4,80.13,83,91,7.92,CO,1593212634
354,Abaza,52.66,90.09,55.89,90,0,3.27,RU,1593212634
355,Gatak,-7.59,110.7,70.48,91,0,2.71,ID,1593212634
356,Suntar,62.14,117.63,65.12,73,81,2.17,RU,1593212634
357,Popondetta,-8.75,148.25,82.35,65,24,0.67,PG,1593212634
358,Thinadhoo,0.53,72.93,84.16,77,100,9.22,MV,1593212635
359,Jamame,0.07,42.75,76.96,83,59,10.54,SO,1593212635
360,Pangody,65.85,74.49,51.78,82,72,16.31,RU,1593212635
361,Dusnok,46.39,18.96,68.16,91,3,11.1,HU,1593212635
362,La Santisima Trinidad,-14.83,-64.9,65.95,75,63,3.36,BO,1593212635
363,Kununurra,-15.77,128.73,57.2,30,0,3.36,AU,1593212635
364,Jasper,37.2,-94.35,89.6,52,20,10.29,US,1593212635
365,Takoradze,4.88,-1.76,77.29,87,77,11.25,GH,1593212635
366,Vardø,70.37,31.11,46.4,75,75,21.92,NO,1593212636
367,Tomatlán,19.93,-105.25,81.7,65,100,1.3,MX,1593212636
368,São Raimundo Nonato,-9.02,-42.7,75.22,49,4,4.18,BR,1593212636
369,Valley City,46.92,-98.0,82.4,39,1,10.29,US,1593212636
370,Cockburn Town,21.46,-71.14,84.2,74,40,13.87,TC,1593212636
371,Broken Hill,-31.95,141.43,44.6,70,90,8.68,AU,1593212636
372,Changde,29.05,111.68,78.24,94,71,0.67,CN,1593212636
