,City,Latitude,Longitude,Maximum Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
121,Otavi,-19.65,17.3333,68.99,88,100,7.65,NA,1611262660
122,Jacqueville,5.2052,-4.4146,80.6,89,20,2.3,CI,1611262660
123,Richards Bay,-28.783,32.0377,75.65,79,96,2.46,ZA,1611262528
124,Lozuvatka,48.0571,33.2858,32.0,93,90,8.95,UA,1611262660
125,Angoram,-4.0625,144.0661,73.58,96,100,1.88,PG,1611262660
126,Krasnogvardeyskoye,45.8456,41.5186,28.83,97,94,10.54,RU,1611262661
127,Atar,20.5169,-13.0499,66.78,21,62,10.74,MR,1611262661
128,Kaa-Khem,51.6833,94.7333,1.71,89,58,1.36,RU,1611262661
129,Ayr,55.4627,-4.6339,39.2,75,40,13.8,GB,1611262661
130,Kaitangata,-46.2817,169.8464,57.99,68,79,11.99,NZ,1611262661
131,Belmonte,-15.8631,-38.8828,82.4,74,75,3.44,BR,1611262662
132,East London,-33.0153,27.9116,74.35,79,56,16.33,ZA,1611262662
133,Vardø,70.3705,31.1107,23.0,86,75,21.45,NO,1611262662
134,Vila Franca do Campo,37.7167,-25.4333,57.99,88,20,6.91,PT,1611262662
135,Kavieng,-2.5744,150.7967,81.46,65,86,6.55,PG,1611262662
136,Bengkulu,-3.8004,102.2655,75.31,88,100,5.66,ID,1611262663
137,Yuzhne,46.6221,31.1013,39.2,93,0,11.18,UA,1611262663
138,Russell,32.3502,-85.1999,66.2,68,90,4.61,US,1611262663
139,Aksu,41.1231,80.2644,23.02,82,100,2.57,CN,1611262663
140,Eidfjord,60.4675,7.0719,28.0,84,99,14.52,NO,1611262664
141,Carnarvon,-24.8667,113.6333,75.2,100,75,13.8,AU,1611262664
142,Los Llanos de Aridane,28.6585,-17.9182,68.0,83,40,11.5,ES,1611262664
143,Mumford,5.2618,-0.759,79.52,85,40,7.83,GH,1611262665
144,Kasempa,-13.4584,25.8338,63.84,97,100,4.21,ZM,1611262665
145,Ampanihy,-24.7,44.75,81.82,75,43,6.49,MG,1611262665
146,Katsuura,35.1333,140.3,42.01,60,40,5.75,JP,1611262665
147,Tasiilaq,65.6145,-37.6368,10.4,67,20,6.91,GL,1611262665
148,Panama City,8.9936,-79.5197,89.01,58,20,14.97,PA,1611262534
149,San Quintín,30.4833,-115.95,62.49,68,0,7.81,MX,1611262665
150,Miranda,3.2499,-76.2281,86.0,51,75,3.44,CO,1611262665
151,Mount Gambier,-37.8333,140.7667,57.2,94,90,3.44,AU,1611262666
152,Sitka,57.0531,-135.33,37.4,100,90,4.21,US,1611262666
153,Bilibino,68.0546,166.4372,-19.46,82,100,3.09,RU,1611262666
154,Havøysund,70.9963,24.6622,23.0,63,40,14.97,NO,1611262667
155,Bethel,41.3712,-73.414,37.0,48,75,12.66,US,1611262667
156,Bougouni,11.417,-7.479,77.2,16,64,6.46,ML,1611262667
157,Barrow,71.2906,-156.7887,-9.4,70,40,21.85,US,1611262668
158,Iqaluit,63.7506,-68.5145,32.0,74,90,24.16,CA,1611262668
159,Auki,-8.7676,160.7034,80.06,72,68,6.2,SB,1611262668
160,Tanabe,33.7333,135.3667,53.42,85,59,3.51,JP,1611262668
161,Cherskiy,68.75,161.3,-39.46,80,0,3.18,RU,1611262669
162,Port Shepstone,-30.7414,30.455,74.46,84,99,16.35,ZA,1611262669
163,Sirsi,14.6167,74.85,66.11,65,55,1.52,IN,1611262669
164,Marsh Harbour,26.5412,-77.0636,71.28,59,85,7.38,BS,1611262669
165,Muli,2.9167,73.5667,82.42,66,38,7.02,MV,1611262669
166,Lanxi,29.2195,119.477,57.04,81,98,2.75,CN,1611262669
167,La Ronge,55.1001,-105.2842,10.4,72,100,9.22,CA,1611262669
168,Kieta,-6.2167,155.6333,80.06,70,97,6.67,PG,1611262670
169,Salalah,17.0151,54.0924,71.6,49,0,2.3,OM,1611262670
170,College,64.8569,-147.8028,3.2,85,40,3.89,US,1611262670
171,São Filipe,14.8961,-24.4956,72.88,69,45,7.23,CV,1611262670
172,Resistencia,-27.4606,-58.9839,91.4,43,20,16.11,AR,1611262670
173,Cayenne,4.9333,-52.3333,78.8,89,90,5.75,GF,1611262671
174,Muhafazat Lahij,13.1667,44.5833,69.49,66,85,5.14,YE,1611262461
175,Ilulissat,69.2167,-51.1,19.4,49,20,1.14,GL,1611262671
176,Vysokogornyy,50.1167,139.15,-17.12,86,99,3.22,RU,1611262671
177,Atakpamé,7.5333,1.1333,79.29,41,10,6.31,TG,1611262671
178,Parangan,5.0839,119.9383,80.4,75,100,1.54,PH,1611262671
179,Kyren,51.6828,102.1408,14.59,84,100,2.3,RU,1611262671
180,Iglesias,39.3114,8.535,55.99,87,0,2.3,IT,1611262671
181,Basoko,1.2391,23.616,79.7,57,94,2.44,CD,1611262672
182,Hobyo,5.3505,48.5268,78.4,82,87,19.89,SO,1611262672
183,Shestakovo,56.4915,103.96,-10.77,86,100,2.1,RU,1611262672
184,Betafo,-19.8333,46.85,65.17,87,100,2.37,MG,1611262672
185,Sokoni,-6.4333,39.55,82.4,83,20,9.22,TZ,1611262672
186,Mawlaik,23.6333,94.4167,57.07,82,47,2.1,MM,1611262672
187,Fortuna,40.5982,-124.1573,59.0,54,20,5.91,US,1611262672
188,Anchorage,61.2181,-149.9003,33.01,80,90,3.44,US,1611262526
189,Dhidhdhoo,6.8833,73.1,82.35,70,94,6.31,MV,1611262673
190,Akdağmadeni,39.6603,35.8836,21.06,90,66,2.75,TR,1611262673
191,Verkhnyaya Inta,65.9811,60.3094,-12.42,85,100,8.68,RU,1611262673
192,Yerbogachën,61.2767,108.0108,-43.17,80,45,3.18,RU,1611262673
193,Yendi,9.4427,-0.0099,80.91,15,11,5.68,GH,1611262674
194,Faanui,-16.4833,-151.75,80.51,76,2,14.5,PF,1611262674
195,Sunbury,-37.5833,144.7333,61.0,72,0,6.91,AU,1611262674
196,Flinders,-34.5833,150.8552,71.01,85,3,1.01,AU,1611262674
197,Thompson,55.7435,-97.8558,-13.0,77,20,3.44,CA,1611262675
198,Tura,25.5198,90.2201,56.84,57,0,4.07,IN,1611262675
199,Ulaangom,49.9811,92.0667,-14.39,85,53,1.5,MN,1611262675
200,Lata,40.1629,-8.3327,59.0,91,100,8.01,PT,1611262675
201,Te Anau,-45.4167,167.7167,51.84,87,100,3.98,NZ,1611262675
202,Kuzedeyevo,53.3308,87.2019,24.37,97,100,2.51,RU,1611262675
203,Talnakh,69.4865,88.3972,-41.33,79,12,3.44,RU,1611262676
204,Beckley,37.7782,-81.1882,35.01,86,90,8.05,US,1611262579
205,Atambua,-9.1061,124.8925,75.87,84,98,2.08,ID,1611262676
206,Aklavik,68.2191,-135.0107,-9.4,77,75,3.44,CA,1611262676
207,Vestmannaeyjar,63.4427,-20.2734,30.07,90,41,23.85,IS,1611262676
208,Kuala Terengganu,5.3302,103.1408,75.2,88,20,3.44,MY,1611262676
209,Acapulco de Juárez,16.8634,-99.8901,84.2,79,1,10.36,MX,1611262401
210,Farmington,36.7281,-108.2187,41.0,69,90,0.89,US,1611262671
211,Mayumba,-3.432,10.6554,79.39,85,100,5.5,GA,1611262677
212,Mossamedes,-15.1961,12.1522,73.22,78,100,9.51,AO,1611262677
213,Cap Malheureux,-19.9842,57.6142,79.0,75,19,3.0,MU,1611262677
214,Río Gallegos,-51.6226,-69.2181,68.0,26,40,28.77,AR,1611262677
215,Alta Floresta,-9.8756,-56.0861,78.37,93,100,3.74,BR,1611262677
216,Margate,51.3813,1.3862,42.01,85,100,1.99,GB,1611262404
217,Asău,46.4333,26.4,33.01,68,72,5.46,RO,1611262678
218,Vanimo,-2.6741,141.3028,76.78,85,100,3.91,PG,1611262678
219,Nizhniy Baskunchak,48.2198,46.8311,10.62,93,100,11.43,RU,1611262678
220,Olafsvik,64.8945,-23.7142,28.63,90,7,27.04,IS,1611262678
221,Salinópolis,-0.6136,-47.3561,79.27,85,95,11.32,BR,1611262678
222,Constitución,-35.3333,-72.4167,67.37,65,20,7.74,CL,1611262679
223,Fort Nelson,58.8053,-122.7002,19.4,79,20,2.3,CA,1611262679
224,Green River,41.5286,-109.4662,35.6,51,75,11.5,US,1611262679
225,Ishigaki,24.3448,124.1572,71.76,96,100,8.77,JP,1611262679
226,Ponta do Sol,32.6667,-17.1,64.0,86,51,5.99,PT,1611262679
227,Broome,42.2506,-75.833,35.01,64,90,8.05,US,1611262566
228,Tiksi,71.6872,128.8694,-30.44,84,100,16.73,RU,1611262679
229,Picos,-7.0769,-41.4669,79.16,72,100,4.07,BR,1611262477
230,Broken Hill,-31.95,141.4333,68.0,21,0,5.75,AU,1611262679
231,Marzuq,14.4,46.4667,60.15,33,61,3.2,YE,1611262680
232,Shalya,57.2471,58.7298,-2.13,92,100,5.06,RU,1611262680
233,Waterfoot,53.6929,-2.2525,37.0,94,0,10.76,GB,1611262680
234,Maniitsoq,65.4167,-52.9,25.65,82,0,9.04,GL,1611262680
235,Lázaro Cárdenas,17.9583,-102.2,85.59,55,0,8.23,MX,1611262680
236,Kavaratti,10.5669,72.642,81.16,78,25,9.69,IN,1611262680
237,Faya,18.3851,42.4509,57.2,24,11,8.05,SA,1611262680
238,Nichinan,31.6,131.3667,55.0,87,70,5.01,JP,1611262680
239,Sept-Îles,50.2001,-66.3821,12.2,52,18,6.91,CA,1611262681
240,Lompoc,34.6391,-120.4579,72.0,28,0,8.05,US,1611262681
241,Kerema,-7.9631,145.7785,78.35,80,100,3.53,PG,1611262681
242,Longyearbyen,78.2186,15.6401,10.4,61,20,20.71,SJ,1611262383
243,Samarai,-10.6167,150.6667,82.42,76,100,7.94,PG,1611262682
244,Nemuro,43.3236,145.575,30.43,93,100,4.81,JP,1611262683
245,Roald,62.5833,6.1333,39.2,81,0,1.14,NO,1611262683
246,Aksarka,66.5606,67.7975,-40.65,80,68,10.74,RU,1611262683
247,Pochutla,15.7432,-96.4661,89.6,48,1,8.05,MX,1611262683
248,Severo-Kuril'sk,50.6789,156.125,18.41,93,99,3.36,RU,1611262683
249,Elizabeth City,36.2946,-76.2511,55.99,38,1,10.36,US,1611262683
250,Lökbatan,40.3237,49.728,32.0,93,0,2.3,AZ,1611262684
251,Dunedin,-45.8742,170.5036,56.32,65,100,3.27,NZ,1611262684
252,Vokhma,58.9303,46.7586,-13.34,89,0,3.96,RU,1611262684
253,Antonovo,43.15,26.1667,30.2,100,100,3.44,BG,1611262685
254,Nome,64.5011,-165.4064,30.99,86,90,21.85,US,1611262685
255,Sorong,-0.8833,131.25,79.75,84,49,8.68,ID,1611262685
256,Durban,-29.8579,31.0292,77.0,83,75,4.61,ZA,1611262685
257,Faro,37.0194,-7.9322,60.8,100,75,18.41,PT,1611262471
258,Okha,53.5739,142.9478,-3.73,92,100,8.75,RU,1611262685
259,Kumluca,36.3703,30.2869,48.11,56,0,4.07,TR,1611262685
260,Kongoussi,13.3258,-1.5347,71.19,20,0,10.92,BF,1611262685
261,Klaksvík,62.2266,-6.589,35.6,75,75,35.68,FO,1611262686
262,Pak Phanang,8.3511,100.202,74.03,79,26,2.1,TH,1611262686
263,Ćuprija,43.9275,21.37,30.2,100,0,1.14,RS,1611262576
264,Itoman,26.1247,127.6694,68.0,88,75,5.75,JP,1611262686
265,Chokurdakh,70.6333,147.9167,-40.61,81,26,7.16,RU,1611262686
266,Zeerust,-25.5369,26.0751,71.6,60,12,4.61,ZA,1611262686
267,Kargasok,59.0556,80.8572,-8.75,91,100,6.24,RU,1611262687
268,Souillac,-20.5167,57.5167,78.8,78,20,10.36,MU,1611262687
269,Garissa,-0.4536,39.6401,80.94,67,100,11.92,KE,1611262451
270,Yatou,37.15,122.3833,36.19,92,81,12.93,CN,1611262687
271,Challapata,-18.9,-66.7667,56.59,51,69,10.74,BO,1611262687
272,Yemtsa,63.0734,40.3329,-16.44,89,79,2.84,RU,1611262687
273,Tongchuanshi,35.0806,109.0897,37.33,59,100,3.04,CN,1611262687
274,Menzel Salem,35.8567,8.4765,42.8,45,0,2.3,TN,1611262687
275,Aldan,58.6031,125.3894,-29.54,83,100,2.37,RU,1611262687
276,Tibati,6.4667,12.6333,71.47,21,9,6.8,CM,1611262688
277,Mayor Pablo Lagerenza,-19.9309,-60.7718,91.63,31,4,10.42,PY,1611262688
278,San Patricio,28.017,-97.5169,66.2,94,90,5.53,US,1611262688
279,Pisco,-13.7,-76.2167,78.8,61,0,20.71,PE,1611262688
280,Cabo San Lucas,22.8909,-109.9124,75.99,78,20,10.36,MX,1611262688
281,Rio Grande,-32.035,-52.0986,80.6,57,75,6.91,BR,1611262574
282,Havelock,34.8791,-76.9013,57.2,44,75,14.97,US,1611262688
283,Yangambi,0.8102,24.4336,74.05,68,25,1.66,CD,1611262688
284,Shimoda,34.6667,138.95,55.06,69,0,19.24,JP,1611262688
285,Soe,-9.8607,124.284,67.71,99,86,2.71,ID,1611262689
286,Ruteng,-8.6136,120.4721,63.52,100,100,1.28,ID,1611262689
287,Yulara,-25.2406,130.9889,77.0,18,100,5.75,AU,1611262689
288,Mweka,-4.85,21.5667,70.02,97,100,1.07,CD,1611262689
289,Necochea,-38.5473,-58.7368,91.99,35,12,11.92,AR,1611262689
290,Berlevåg,70.8578,29.0864,23.0,74,75,29.93,NO,1611262689
291,Nanortalik,60.1432,-45.2371,23.47,88,0,4.18,GL,1611262690
292,Laje,-10.1833,-40.9667,80.58,49,92,9.75,BR,1611262690
293,São Félix do Xingu,-6.6447,-51.995,82.56,74,56,1.99,BR,1611262690
294,The Valley,18.217,-63.0578,84.2,74,40,10.36,AI,1611262690
295,Saint-Pierre,-21.3393,55.4781,82.4,78,0,6.91,RE,1611262690
296,Coyhaique,-45.5752,-72.0662,68.0,42,75,8.05,CL,1611262690
297,Severiano Melo,-5.7772,-37.9578,84.81,52,99,10.83,BR,1611262691
298,Naze,28.3667,129.4833,64.51,95,92,12.28,JP,1611262691
299,Port Hedland,-20.3167,118.5667,82.4,61,100,10.36,AU,1611262691
300,Bowen,-20.0167,148.2333,69.8,88,40,6.91,AU,1611262691
301,Lubango,-14.9172,13.4925,62.29,53,100,3.27,AO,1611262451
302,Nyurba,63.2842,118.3319,-50.19,76,100,1.88,RU,1611262691
303,Sobolevo,54.4299,31.8996,32.04,98,100,12.17,RU,1611262691
304,Lambaréné,-0.7001,10.2406,77.2,89,100,3.74,GA,1611262691
305,Palāsa,18.7667,84.4167,68.97,85,0,4.79,IN,1611262692
306,Westport,41.1415,-73.3579,41.0,52,20,14.97,US,1611262692
307,Umluj,25.0213,37.2685,71.29,27,51,19.01,SA,1611262692
308,Kloulklubed,7.0419,134.2556,75.2,100,75,3.44,PW,1611262692
309,Umm Kaddadah,13.6017,26.6876,61.61,30,10,19.69,SD,1611262692
310,Talcahuano,-36.7167,-73.1167,73.4,60,0,9.22,CL,1611262692
311,Laguna,38.421,-121.4238,64.0,33,1,4.61,US,1611262692
312,Jiuquan,39.7432,98.5174,24.8,67,0,3.87,CN,1611262692
313,Ust'-Kut,56.7938,105.7672,-15.3,84,98,2.19,RU,1611262692
314,Tamiahua,21.2667,-97.45,76.08,80,28,10.98,MX,1611262693
315,Saryg-Sep,51.5,95.6,2.53,90,42,1.23,RU,1611262693
316,Reconquista,-29.15,-59.65,91.49,41,14,15.14,AR,1611262693
317,Saskylakh,71.9167,114.0833,-22.83,85,100,8.97,RU,1611262693
318,Polunochnoye,60.8697,60.4153,-17.72,88,100,8.86,RU,1611262694
319,Port-Gentil,-0.7193,8.7815,80.6,89,40,4.61,GA,1611262694
320,Barcelos,41.5388,-8.6151,57.2,94,75,17.27,PT,1611262694
321,Altay,47.8667,88.1167,23.05,86,100,4.05,CN,1611262694
322,Alibag,18.6411,72.8792,73.4,68,0,3.44,IN,1611262694
323,Darłowo,54.421,16.4107,44.01,74,100,17.07,PL,1611262694
324,Nishihara,26.1842,127.7558,68.0,88,75,5.75,JP,1611262694
325,Abu Kamal,34.4506,40.9171,41.22,61,25,8.77,SY,1611262695
326,Alenquer,-1.9417,-54.7383,84.2,79,75,3.44,BR,1611262581
327,Khandyga,62.6667,135.6,-42.81,80,100,3.13,RU,1611262695
328,Severodvinsk,64.5635,39.8302,-18.4,83,0,2.24,RU,1611262496
329,Osmeña,10.5208,119.9258,80.04,83,96,17.29,PH,1611262695
330,Madang,-5.2246,145.7966,75.69,88,100,5.32,PG,1611262695
331,Cockburn Town,21.4612,-71.1419,77.0,73,40,14.97,TC,1611262585
332,Hong Kong,22.2855,114.1577,66.99,83,47,4.34,HK,1611262488
333,Tuatapere,-46.1333,167.6833,55.99,93,96,11.99,NZ,1611262695
334,Kulhudhuffushi,6.6221,73.07,81.88,70,80,3.74,MV,1611262695
335,Safi,32.2994,-9.2372,60.58,92,26,8.99,MA,1611262696
336,Guerrero Negro,27.9769,-114.0611,67.55,52,31,9.48,MX,1611262696
337,Bathsheba,13.2167,-59.5167,80.6,69,20,16.11,BB,1611262696
338,Xining,36.6167,101.7667,20.88,67,91,1.99,CN,1611262696
339,Meulaboh,4.1363,96.1285,75.33,89,98,3.83,ID,1611262696
340,Escanaba,45.7453,-87.0646,37.0,55,90,12.66,US,1611262680
341,Mount Isa,-20.7333,139.5,77.0,83,31,4.61,AU,1611262696
342,Mahébourg,-20.4081,57.7,78.8,78,20,10.36,MU,1611262696
343,Knysna,-34.0363,23.0471,66.2,94,90,4.61,ZA,1611262697
344,Tefé,-3.3542,-64.7114,77.0,94,75,9.22,BR,1611262697
345,Praia,14.9215,-23.5087,71.6,73,75,19.57,CV,1611262697
346,Maceió,-9.6658,-35.7353,77.0,83,75,4.61,BR,1611262697
347,Denpasar,-8.65,115.2167,78.93,75,100,6.51,ID,1611262697
348,Ailigandí,9.2333,-78.0167,80.65,78,99,12.46,PA,1611262698
349,Kaeo,-35.1,173.7833,64.0,76,1,4.0,NZ,1611262698
350,Bāneh,35.9975,45.8853,15.46,92,0,7.0,IR,1611262698
351,Shāmgarh,24.1833,75.6333,60.66,33,0,3.58,IN,1611262698
352,Tonstad,58.6626,6.7169,37.99,96,100,15.01,NO,1611262698
353,Sagae,38.3725,140.2725,33.53,91,64,3.76,JP,1611262698
354,Pinega,64.7001,43.3936,-19.57,87,49,3.89,RU,1611262698
355,Pahrump,36.2083,-115.9839,64.99,37,0,3.0,US,1611262700
356,Dingle,10.9995,122.6711,75.33,86,68,1.05,PH,1611262700
